num,pid,ont_type,vis_type,success,time,totalfix,avg_fix_duration,scanpath,avg_saccadic_length,pupil_baseline,avg_pupil,avg_pupil_dilation,convexhull_area,totalclick
0,p1,general,tree,0.61,26,2647,152.0,425894,160.9578,3.5731,3.5084,-0.0646,3724,606
1,p1,expert,graph,0.52,38,2422,148.0,334228,138.0539,3.5731,3.4638,-0.1093,3680,984
2,p3,general,tree,0.48,10,1564,330.0,211030,135.0163,3.0114,3.1883,0.1768,4141,173
3,p3,expert,graph,0.39,50,7967,309.0,976608,122.6741,3.0114,3.1404,0.129,4227,891
4,p5,general,tree,0.52,22,2445,204.0,308060,126.0475,3.3014,3.3529,0.0514,3757,314
5,p5,expert,graph,0.43,27,1604,171.0,210346,131.3022,3.3014,3.2999,-0.0015,3628,601
6,p7,general,tree,0.57,16,2711,248.0,329796,121.7409,3.651,3.6049,-0.0461,3693,364
7,p7,expert,graph,0.09,20,2467,227.0,263107,106.6941,3.651,3.6241,-0.027,4605,377
8,p11,general,tree,0.48,15,1152,143.0,186921,162.3989,3.9187,3.7209,-0.1978,3633,304
9,p11,expert,graph,0.35,33,3657,158.0,518608,141.8901,3.9187,3.7837,-0.135,4088,830
10,p13,general,tree,0.43,35,5491,294.0,936609,170.634,4.5069,4.6921,0.1852,4207,401
11,p13,expert,graph,0.39,27,5025,260.0,723360,144.0384,4.5069,4.8553,0.3483,3984,613
12,p15,general,tree,0.52,9,1007,176.0,136636,135.8215,3.7775,4.0345,0.2569,3621,130
13,p15,expert,graph,0.57,13,1158,163.0,138931,120.0787,3.7775,4.0654,0.2878,3570,197
14,p17,general,tree,0.43,14,1347,266.0,174723,129.8095,3.5792,3.879,0.2997,3789,313
15,p17,expert,graph,0.61,22,3345,270.0,339987,101.7013,3.5792,3.8453,0.2661,3739,534
16,p19,general,tree,0.57,14,1847,196.0,225869,122.4223,3.7819,3.8163,0.0344,4088,242
17,p19,expert,graph,0.43,72,11294,259.0,1492083,132.148,3.7819,3.8601,0.0781,4147,1010
18,p21,general,tree,0.43,16,2262,297.0,323198,143.008,3.2187,3.3788,0.1601,4243,356
19,p21,expert,graph,0.57,6,1000,304.0,121749,121.8712,3.2187,3.354,0.1353,3687,171
20,p23,general,tree,0.57,13,1824,331.0,248624,136.3818,3.7603,3.9163,0.156,3412,448
